iteration,seed,fitness,total_existing,total_planted,exist_AG_LEC,exist_AG_SAL,exist_AG_SCB,exist_AG_STR,exist_OP_CAN,exist_OP_ENG,exist_OP_ROB,exist_OP_STR,exist_PR_LAE,exist_YU_FIL,new_AG_LEC,new_AG_SAL,new_AG_SCB,new_AG_STR,new_OP_CAN,new_OP_ENG,new_OP_ROB,new_OP_STR,new_PR_LAE,new_YU_FIL
199,407391,687.9666666666667,72,553,3,19,7,10,2,6,13,2,4,6,37,167,33,30,45,30,56,59,77,19
200,619202,696.5989247311827,70,555,3,27,7,1,6,3,7,7,8,1,37,159,33,39,41,33,62,54,73,24
201,840665,698.3612903225807,67,558,5,19,2,3,7,2,6,8,8,7,35,167,38,37,40,34,63,53,73,18
202,379740,680.9161290322581,69,556,5,21,8,3,4,5,10,6,6,1,35,165,32,37,43,31,59,55,75,24
203,937798,696.1010752688172,69,556,7,16,5,10,4,3,10,3,8,3,33,170,35,30,43,33,59,58,73,22
204,671494,686.6075268817204,77,548,2,19,9,4,8,6,10,9,9,1,38,167,31,36,39,30,59,52,72,24
205,373944,691.7774193548387,65,560,5,26,7,3,2,4,7,3,7,1,35,160,33,37,45,32,62,58,74,24
206,679302,695.6892473118279,72,553,2,29,4,6,5,3,7,6,8,2,38,157,36,34,42,33,62,55,73,23
207,592515,691.7290322580645,73,552,7,25,6,2,6,3,12,5,2,5,33,161,34,38,41,33,57,56,79,20
208,549041,689.4720430107525,74,551,5,26,0,4,7,7,10,4,7,4,35,160,40,36,40,29,59,57,74,21
209,590586,698.5150537634408,70,555,4,25,1,3,3,6,9,6,9,4,36,161,39,37,44,30,60,55,72,21
210,537558,687.6763440860213,75,550,7,27,3,4,8,7,6,4,8,1,33,159,37,36,39,29,63,57,73,24
211,572735,698.5741935483871,63,562,7,8,6,4,10,3,4,7,9,5,33,178,34,36,37,33,65,54,72,20
212,254840,695.0784946236558,71,554,5,17,5,4,6,5,12,5,6,6,35,169,35,36,41,31,57,56,75,19
213,513992,685.9666666666666,66,559,7,19,6,10,0,3,8,5,7,1,33,167,34,30,47,33,61,56,74,24
214,711064,690.6612903225805,71,554,6,25,4,3,4,7,6,4,10,2,34,161,36,37,43,29,63,57,71,23
215,613527,699.5462365591397,73,552,2,14,9,3,6,6,9,7,14,3,38,172,31,37,41,30,60,54,67,22
216,658084,686.8387096774193,76,549,6,20,4,7,8,6,13,6,5,1,34,166,36,33,39,30,56,55,76,24
217,350307,694.0376344086021,73,552,4,25,6,5,4,3,6,8,10,2,36,161,34,35,43,33,63,53,71,23
218,627693,689.7505376344086,75,550,7,19,6,4,7,5,8,8,8,3,33,167,34,36,40,31,61,53,73,22
219,597919,690.0612903225806,70,555,4,21,1,4,5,5,8,14,7,1,36,165,39,36,42,31,61,47,74,24
220,829621,691.2655913978494,72,553,4,22,6,5,8,1,5,6,14,1,36,164,34,35,39,35,64,55,67,24
221,160556,693.4086021505375,74,551,4,25,4,3,9,3,10,7,8,1,36,161,36,37,38,33,59,54,73,24
222,257534,686.3623655913979,70,555,3,20,7,4,1,7,8,8,8,4,37,166,33,36,46,29,61,53,73,21
223,642143,687.4774193548386,70,555,4,25,4,6,5,6,9,3,7,1,36,161,36,34,42,30,60,58,74,24
224,569433,699.8172043010752,69,556,1,19,6,5,7,3,8,8,10,2,39,167,34,35,40,33,61,53,71,23
225,587073,693.894623655914,73,552,4,21,1,4,5,4,15,9,7,3,36,165,39,36,42,32,54,52,74,22
226,336327,695.0075268817203,68,557,3,19,4,3,6,3,12,8,8,2,37,167,36,37,41,33,57,53,73,23
227,426129,689.8301075268816,70,555,8,16,6,7,6,3,7,7,9,1,32,170,34,33,41,33,62,54,72,24
228,158730,694.3505376344086,67,558,2,20,6,2,4,6,7,6,12,2,38,166,34,38,43,30,62,55,69,23
229,717353,699.2935483870967,69,556,8,17,3,2,3,5,6,5,16,4,32,169,37,38,44,31,63,56,65,21
230,378148,699.5236559139785,74,551,8,21,3,3,3,4,9,8,11,4,32,165,37,37,44,32,60,53,70,21
231,977630,688.6397849462367,73,552,6,24,5,5,2,3,11,7,8,2,34,162,35,35,45,33,58,54,73,23
232,304087,693.5666666666667,72,553,6,24,5,2,3,3,12,5,9,3,34,162,35,38,44,33,57,56,72,22
233,962783,691.4784946236558,71,554,4,19,4,2,8,4,5,6,13,6,36,167,36,38,39,32,64,55,68,19
234,140117,685.72688172043,67,558,3,15,9,3,3,6,8,9,10,1,37,171,31,37,44,30,61,52,71,24
235,105699,697.3516129032257,70,555,5,16,3,4,8,3,11,8,6,6,35,170,37,36,39,33,58,53,75,19
236,841172,704.5344086021505,71,554,2,12,4,2,7,4,11,7,17,5,38,174,36,38,40,32,58,54,64,20
237,918446,698.8129032258064,74,551,6,14,6,6,5,3,15,6,13,0,34,172,34,34,42,33,54,55,68,25
238,597013,690.3763440860214,69,556,9,19,8,2,1,7,6,8,8,1,31,167,32,38,46,29,63,53,73,24
239,701170,692.9494623655914,69,556,3,20,5,3,1,7,13,3,12,2,37,166,35,37,46,29,56,58,69,23
240,991671,696.237634408602,76,549,2,16,5,5,4,3,13,12,9,7,38,170,35,35,43,33,56,49,72,18
241,186125,692.1279569892473,71,554,5,23,7,5,5,5,5,7,8,1,35,163,33,35,42,31,64,54,73,24
242,594589,689.1623655913978,69,556,4,21,9,3,3,2,7,11,8,1,36,165,31,37,44,34,62,50,73,24
243,839273,698.1387096774193,71,554,5,13,2,5,6,5,13,11,9,2,35,173,38,35,41,31,56,50,72,23
244,634518,698.7860215053763,71,554,4,22,8,4,8,1,7,5,8,4,36,164,32,36,39,35,62,56,73,21
245,593423,691.5935483870967,71,554,4,15,7,3,7,2,14,7,9,3,36,171,33,37,40,34,55,54,72,22
246,385560,691.7139784946237,69,556,5,20,6,5,5,1,12,5,8,2,35,166,34,35,42,35,57,56,73,23
247,663577,695.1182795698925,73,552,3,26,3,5,6,4,12,2,9,3,37,160,37,35,41,32,57,59,72,22
248,184068,693.5204301075269,76,549,8,23,5,4,1,4,13,7,5,6,32,163,35,36,46,32,56,54,76,19
249,632541,689.0440860215053,73,552,2,19,3,7,8,2,7,10,10,5,38,167,37,33,39,34,62,51,71,20
250,409781,703.2956989247313,75,550,3,26,6,6,6,3,5,7,13,0,37,160,34,34,41,33,64,54,68,25
251,481517,694.9602150537635,74,551,2,22,5,4,9,3,10,8,9,2,38,164,35,36,38,33,59,53,72,23
252,429209,687.7709677419355,74,551,6,21,4,1,7,6,8,10,8,3,34,165,36,39,40,30,61,51,73,22
253,740214,691.947311827957,74,551,5,16,7,5,7,5,7,8,13,1,35,170,33,35,40,31,62,53,68,24
254,763069,691.0677419354838,71,554,5,19,7,2,3,2,10,10,9,4,35,167,33,38,44,34,59,51,72,21
255,169836,697.0311827956989,72,553,9,15,3,5,7,5,8,8,9,3,31,171,37,35,40,31,61,53,72,22
256,557404,690.831182795699,73,552,5,15,4,5,7,4,13,8,7,5,35,171,36,35,40,32,56,53,74,20
257,275930,692.5989247311827,70,555,11,9,4,3,5,5,10,10,11,2,29,177,36,37,42,31,59,51,70,23
258,734868,691.1924731182796,72,553,2,20,8,4,6,4,11,6,9,2,38,166,32,36,41,32,58,55,72,23
259,866321,695.3301075268816,68,557,4,22,6,7,3,1,8,6,9,2,36,164,34,33,44,35,61,55,72,23
260,246565,692.3010752688172,68,557,4,18,12,5,2,7,8,3,5,4,36,168,28,35,45,29,61,58,76,21
261,412148,702.7537634408602,71,554,8,16,5,6,11,1,5,7,11,1,32,170,35,34,36,35,64,54,70,24
262,554511,692.9666666666666,72,553,4,11,9,5,7,6,10,10,8,2,36,175,31,35,40,30,59,51,73,23
263,313117,698.963440860215,72,553,5,19,5,4,6,5,11,1,11,5,35,167,35,36,41,31,58,60,70,20
264,848574,692.7838709677419,71,554,6,15,4,6,8,13,6,7,2,4,34,171,36,34,39,23,63,54,79,21
265,152783,696.7989247311829,71,554,3,21,4,7,3,3,8,10,10,2,37,165,36,33,44,33,61,51,71,23
266,196482,695.3150537634408,71,554,7,15,5,4,4,4,13,3,9,7,33,171,35,36,43,32,56,58,72,18
267,723412,691.9935483870968,70,555,8,18,5,5,5,4,9,8,6,2,32,168,35,35,42,32,60,53,75,23
268,870699,697.0279569892473,75,550,3,23,4,5,9,4,6,10,8,3,37,163,36,35,38,32,63,51,73,22
269,857287,687.516129032258,69,556,3,20,7,7,3,6,8,3,7,5,37,166,33,33,44,30,61,58,74,20
270,149732,686.4150537634409,71,554,2,14,5,2,7,10,9,11,9,2,38,172,35,38,40,26,60,50,72,23
271,826500,691.9118279569891,70,555,0,22,3,3,5,6,6,7,15,3,40,164,37,37,42,30,63,54,66,22
272,249171,687.7720430107527,74,551,7,19,5,6,8,1,9,6,7,6,33,167,35,34,39,35,60,55,74,19
273,667663,694.4569892473119,73,552,4,19,4,9,6,2,7,9,11,2,36,167,36,31,41,34,62,52,70,23
274,480276,693.1924731182796,66,559,5,20,3,8,4,5,7,7,4,3,35,166,37,32,43,31,62,54,77,22
275,596361,691.379569892473,72,553,2,22,2,1,8,3,9,11,12,2,38,164,38,39,39,33,60,50,69,23
276,456040,694.4978494623656,74,551,3,22,5,6,6,7,13,3,9,0,37,164,35,34,41,29,56,58,72,25
277,443159,686.3247311827956,72,553,8,17,4,6,5,6,10,5,11,0,32,169,36,34,42,30,59,56,70,25
278,179279,697.4806451612903,70,555,6,17,2,4,7,5,3,7,15,4,34,169,38,36,40,31,66,54,66,21
279,373533,688.7978494623655,65,560,2,19,3,2,8,4,6,5,14,2,38,167,37,38,39,32,63,56,67,23
280,905757,692.116129032258,70,555,8,17,5,5,4,8,5,8,8,2,32,169,35,35,43,28,64,53,73,23
281,996314,688.3752688172042,67,558,7,14,6,5,6,4,8,7,7,3,33,172,34,35,41,32,61,54,74,22
282,863490,687.2193548387097,72,553,5,27,7,2,4,5,10,5,5,2,35,159,33,38,43,31,59,56,76,23
283,453025,699.8354838709677,72,553,7,23,3,2,7,1,11,6,12,0,33,163,37,38,40,35,58,55,69,25
284,829139,692.3870967741934,72,553,5,19,5,8,4,5,11,7,5,3,35,167,35,32,43,31,58,54,76,22
285,818364,693.1236559139786,71,554,5,20,5,3,10,3,13,6,5,1,35,166,35,37,37,33,56,55,76,24
286,569058,693.2602150537634,68,557,3,17,4,3,3,4,8,11,12,3,37,169,36,37,44,32,61,50,69,22
287,916102,684.458064516129,73,552,5,26,3,1,7,3,8,10,9,1,35,160,37,39,40,33,61,51,72,24
288,155327,683.3430107526882,73,552,2,25,4,5,5,6,9,7,7,3,38,161,36,35,42,30,60,54,74,22
289,236379,689.0193548387095,77,548,6,24,1,7,7,6,7,12,5,2,34,162,39,33,40,30,62,49,76,23
290,173336,691.0763440860215,68,557,4,19,2,4,4,4,9,9,9,4,36,167,38,36,43,32,60,52,72,21
291,552995,695.6440860215054,68,557,5,23,8,5,5,4,6,4,8,0,35,163,32,35,42,32,63,57,73,25
292,732873,698.7612903225805,75,550,4,16,3,7,8,7,12,6,10,2,36,170,37,33,39,29,57,55,71,23
293,952769,692.3860215053762,69,556,7,19,7,4,3,5,6,5,11,2,33,167,33,36,44,31,63,56,70,23
294,284486,701.3634408602151,70,555,2,16,6,6,8,6,6,3,14,3,38,170,34,34,39,30,63,58,67,22
295,577930,693.2956989247311,67,558,1,14,7,3,9,6,10,4,11,2,39,172,33,37,38,30,59,57,70,23
296,2851,699.8193548387097,70,555,5,25,6,3,4,3,4,10,6,4,35,161,34,37,43,33,65,51,75,21
297,504255,695.9129032258064,69,556,4,27,4,1,7,3,5,7,7,4,36,159,36,39,40,33,64,54,74,21
298,505971,699.6698924731182,71,554,3,18,2,7,8,3,5,12,9,4,37,168,38,33,39,33,64,49,72,21
299,417857,684.7311827956987,71,554,3,23,2,5,3,6,10,9,9,1,37,163,38,35,44,30,59,52,72,24
300,334980,685.483870967742,72,553,5,19,5,7,5,7,7,4,12,1,35,167,35,33,42,29,62,57,69,24
301,271628,697.9236559139783,75,550,0,19,2,4,4,4,15,10,12,5,40,167,38,36,43,32,54,51,69,20
302,839855,690.6096774193547,72,553,3,25,4,7,6,7,9,2,6,3,37,161,36,33,41,29,60,59,75,22
303,750909,694.4032258064516,72,553,8,21,4,1,6,6,10,7,6,3,32,165,36,39,41,30,59,54,75,22
304,585632,696.7537634408602,67,558,2,24,5,0,7,6,7,6,4,6,38,162,35,40,40,30,62,55,77,19
305,653398,701.3752688172042,71,554,7,19,6,2,6,4,8,6,11,2,33,167,34,38,41,32,61,55,70,23
306,21914,695.4247311827957,71,554,5,27,4,4,4,3,7,5,8,4,35,159,36,36,43,33,62,56,73,21
307,483273,684.0935483870967,71,554,5,27,1,0,7,5,11,5,6,4,35,159,39,40,40,31,58,56,75,21
308,421530,690.9279569892471,70,555,2,25,3,5,6,4,9,5,8,3,38,161,37,35,41,32,60,56,73,22
309,974325,703.2612903225806,70,555,4,19,6,10,4,7,5,6,8,1,36,167,34,30,43,29,64,55,73,24
310,740267,698.5806451612902,72,553,6,20,6,9,3,1,7,6,11,3,34,166,34,31,44,35,62,55,70,22
311,490940,696.3999999999999,65,560,6,22,4,4,7,1,4,6,8,3,34,164,36,36,40,35,65,55,73,22
312,171582,698.9913978494624,69,556,5,28,4,3,4,3,7,3,12,0,35,158,36,37,43,33,62,58,69,25
313,614648,694.9924731182795,71,554,2,20,3,6,6,2,6,13,11,2,38,166,37,34,41,34,63,48,70,23
314,824915,691.2408602150538,68,557,6,21,6,6,5,2,8,5,7,2,34,165,34,34,42,34,61,56,74,23
315,983476,689.3612903225805,69,556,3,23,7,5,5,2,5,6,9,4,37,163,33,35,42,34,64,55,72,21
316,49028,691.0860215053763,68,557,3,12,6,3,4,10,9,6,11,4,37,174,34,37,43,26,60,55,70,21
317,891282,698.8,68,557,3,21,4,5,6,5,8,6,8,2,37,165,36,35,41,31,61,55,73,23
318,362739,704.9225806451612,70,555,1,18,4,5,4,3,10,5,15,5,39,168,36,35,43,33,59,56,66,20
319,807964,692.4838709677418,70,555,3,20,6,4,8,3,5,10,9,2,37,166,34,36,39,33,64,51,72,23
320,836276,689.494623655914,73,552,3,23,3,2,3,7,7,9,10,6,37,163,37,38,44,29,62,52,71,19
321,989905,685.4010752688171,73,552,2,23,8,4,6,9,7,4,10,0,38,163,32,36,41,27,62,57,71,25
322,680155,692.6182795698924,74,551,10,20,5,2,10,5,10,5,5,2,30,166,35,38,37,31,59,56,76,23
323,25193,695.990322580645,65,560,7,19,2,5,0,6,6,7,9,4,33,167,38,35,47,30,63,54,72,21
324,137363,702.9333333333332,74,551,5,21,3,2,5,4,9,8,12,5,35,165,37,38,42,32,60,53,69,20
325,396387,699.0881720430107,71,554,4,19,5,3,5,7,6,5,16,1,36,167,35,37,42,29,63,56,65,24
326,138663,691.7010752688171,74,551,5,25,5,3,1,5,11,6,11,2,35,161,35,37,46,31,58,55,70,23
327,205908,695.3225806451612,74,551,5,21,3,8,4,5,9,6,10,3,35,165,37,32,43,31,60,55,71,22
328,15264,697.0494623655914,70,555,3,15,5,8,9,2,10,6,10,2,37,171,35,32,38,34,59,55,71,23
329,238696,688.5731182795698,71,554,6,19,3,5,9,2,4,12,7,4,34,167,37,35,38,34,65,49,74,21
330,30092,694.1096774193547,70,555,3,21,3,5,12,1,8,7,7,3,37,165,37,35,35,35,61,54,74,22
331,52180,701.0096774193548,70,555,6,23,2,2,7,4,12,3,8,3,34,163,38,38,40,32,57,58,73,22
332,59732,694.9526881720429,68,557,2,22,6,7,4,4,4,7,9,3,38,164,34,33,43,32,65,54,72,22
333,648284,695.1591397849462,70,555,1,21,3,5,9,5,4,9,10,3,39,165,37,35,38,31,65,52,71,22
334,334385,693.4978494623655,70,555,6,20,8,3,2,5,6,7,10,3,34,166,32,37,45,31,63,54,71,22
335,18719,695.8655913978494,71,554,2,22,4,4,9,2,9,12,6,1,38,164,36,36,38,34,60,49,75,24
336,560885,689.3440860215053,70,555,5,29,5,4,7,2,2,7,5,4,35,157,35,36,40,34,67,54,76,21
337,334772,698.32688172043,73,552,6,23,7,3,4,4,7,4,11,4,34,163,33,37,43,32,62,57,70,21
338,177640,697.1215053763441,75,550,3,28,6,2,10,2,8,8,7,1,37,158,34,38,37,34,61,53,74,24
339,460593,684.2612903225806,72,553,4,24,4,4,5,3,10,9,8,1,36,162,36,36,42,33,59,52,73,24
340,847580,693.0118279569892,74,551,6,12,3,4,11,5,11,8,9,5,34,174,37,36,36,31,58,53,72,20
341,513421,697.3118279569893,69,556,3,23,6,1,5,1,7,6,13,4,37,163,34,39,42,35,62,55,68,21
342,951313,696.1774193548388,67,558,3,25,4,7,4,3,3,7,10,1,37,161,36,33,43,33,66,54,71,24
343,363496,686.2333333333333,74,551,5,14,4,4,8,8,6,5,18,2,35,172,36,36,39,28,63,56,63,23
344,358771,692.9225806451612,69,556,3,18,4,5,6,2,9,8,11,3,37,168,36,35,41,34,60,53,70,22
345,793876,694.6483870967741,73,552,2,25,5,4,7,3,8,7,9,3,38,161,35,36,40,33,61,54,72,22
346,497575,680.3129032258064,71,554,6,31,9,1,3,3,6,7,4,1,34,155,31,39,44,33,63,54,77,24
347,714756,690.5354838709676,72,553,5,19,5,7,4,7,7,3,11,4,35,167,35,33,43,29,62,58,70,21
348,319983,695.0634408602151,76,549,8,22,6,7,8,4,6,7,8,0,32,164,34,33,39,32,63,54,73,25
349,970738,697.2172043010753,72,553,3,26,2,6,2,9,5,6,10,3,37,160,38,34,45,27,64,55,71,22
350,842730,695.5709677419354,72,553,4,25,2,1,10,6,4,11,6,3,36,161,38,39,37,30,65,50,75,22
351,263830,699.6258064516129,74,551,4,20,4,6,9,4,6,9,12,0,36,166,36,34,38,32,63,52,69,25
352,928662,700.7860215053763,75,550,6,18,3,7,8,3,8,7,12,3,34,168,37,33,39,33,61,54,69,22
353,8512,693.0215053763441,72,553,5,18,4,4,8,4,12,4,9,4,35,168,36,36,39,32,57,57,72,21
354,68292,687.8806451612903,74,551,5,18,2,1,6,5,10,11,9,7,35,168,38,39,41,31,59,50,72,18
355,552833,697.5784946236558,66,559,2,23,5,4,7,3,2,8,9,3,38,163,35,36,40,33,67,53,72,22
356,351204,699.1408602150536,70,555,5,15,5,3,9,4,8,5,16,0,35,171,35,37,38,32,61,56,65,25
357,894321,692.9731182795699,69,556,8,17,4,6,8,4,7,5,7,3,32,169,36,34,39,32,62,56,74,22
358,975003,687.332258064516,73,552,6,17,9,6,6,6,9,7,4,3,34,169,31,34,41,30,60,54,77,22
359,171730,701.6204301075269,74,551,6,20,6,7,3,5,7,9,10,1,34,166,34,33,44,31,62,52,71,24
360,468058,698.2247311827956,70,555,3,27,4,5,5,6,5,2,10,3,37,159,36,35,42,30,64,59,71,22
361,978672,691.0784946236558,69,556,6,19,7,3,7,2,8,6,3,8,34,167,33,37,40,34,61,55,78,17
362,403987,690.4129032258063,76,549,6,24,5,2,9,7,11,2,7,3,34,162,35,38,38,29,58,59,74,22
363,845910,703.5139784946236,72,553,3,19,5,4,6,8,8,7,8,4,37,167,35,36,41,28,61,54,73,21
364,413461,692.421505376344,77,548,3,28,6,1,4,4,7,10,11,3,37,158,34,39,43,32,62,51,70,22
365,69877,688.6172043010753,72,553,4,17,3,5,10,6,8,7,11,1,36,169,37,35,37,30,61,54,70,24
366,184641,690.2763440860215,74,551,3,26,9,3,3,5,6,11,6,2,37,160,31,37,44,31,63,50,75,23
367,331119,692.0440860215053,64,561,6,19,3,2,6,4,6,9,7,2,34,167,37,38,41,32,63,52,74,23
368,896022,694.9172043010751,74,551,6,19,4,4,5,6,6,7,14,3,34,167,36,36,42,30,63,54,67,22
369,799302,691.1516129032258,70,555,2,16,4,2,7,7,11,11,8,2,38,170,36,38,40,29,58,50,73,23
370,116526,690.7494623655914,75,550,2,21,8,0,6,3,13,9,11,2,38,165,32,40,41,33,56,52,70,23
371,210305,700.016129032258,76,549,5,18,5,4,2,2,10,7,20,3,35,168,35,36,45,34,59,54,61,22
372,309511,692.3763440860214,72,553,7,22,4,8,2,4,4,8,11,2,33,164,36,32,45,32,65,53,70,23
373,269979,691.9182795698924,68,557,4,19,5,5,6,3,5,6,14,1,36,167,35,35,41,33,64,55,67,24
374,834510,692.6365591397849,69,556,2,25,2,6,5,4,12,3,4,6,38,161,38,34,42,32,57,58,77,19
375,231238,685.052688172043,69,556,3,18,7,6,3,8,6,6,9,3,37,168,33,34,44,28,63,55,72,22
376,776972,697.6354838709678,71,554,9,15,2,5,3,8,7,12,8,2,31,171,38,35,44,28,62,49,73,23
377,589436,696.0333333333333,74,551,2,19,5,4,5,10,8,7,13,1,38,167,35,36,42,26,61,54,68,24
378,128963,693.2559139784946,71,554,8,22,4,3,8,3,7,6,6,4,32,164,36,37,39,33,62,55,75,21
379,281071,696.8978494623656,68,557,1,21,7,7,5,1,7,9,9,1,39,165,33,33,42,35,62,52,72,24
380,191216,700.3376344086021,74,551,2,26,7,3,5,2,10,5,13,1,38,160,33,37,42,34,59,56,68,24
381,39053,698.0623655913979,71,554,6,14,3,10,7,7,7,6,9,2,34,172,37,30,40,29,62,55,72,23
382,231227,693.452688172043,67,558,8,16,4,6,4,4,8,4,7,6,32,170,36,34,43,32,61,57,74,19
383,66596,694.0892473118279,74,551,5,22,7,3,3,3,11,8,10,2,35,164,33,37,44,33,58,53,71,23
384,180968,692.3956989247313,71,554,7,22,2,1,9,5,7,4,9,5,33,164,38,39,38,31,62,57,72,20
385,680603,699.8827956989246,69,556,5,11,2,2,9,4,12,7,8,9,35,175,38,38,38,32,57,54,73,16
386,101245,686.3569892473117,73,552,5,16,5,5,2,5,16,5,9,5,35,170,35,35,45,31,53,56,72,20
387,399966,699.068817204301,72,553,6,20,5,5,5,5,4,6,14,2,34,166,35,35,42,31,65,55,67,23
388,965720,699.1913978494624,68,557,3,19,3,5,4,4,13,5,9,3,37,167,37,35,43,32,56,56,72,22
389,401602,691.6258064516129,73,552,7,26,3,1,2,6,6,9,8,5,33,160,37,39,45,30,63,52,73,20
390,183330,690.9430107526882,71,554,8,22,7,6,4,4,6,6,5,3,32,164,33,34,43,32,63,55,76,22
391,323870,696.5118279569892,72,553,9,23,2,3,8,7,4,2,11,3,31,163,38,37,39,29,65,59,70,22
392,276984,695.1301075268817,76,549,5,26,1,6,6,5,4,7,11,5,35,160,39,34,41,31,65,54,70,20
393,346555,684.9677419354838,72,553,4,24,6,8,2,2,10,9,7,0,36,162,34,32,45,34,59,52,74,25
394,475790,688.6268817204301,71,554,6,20,5,5,6,2,9,4,12,2,34,166,35,35,41,34,60,57,69,23
395,928968,697.9096774193548,72,553,5,24,7,4,5,3,6,7,5,6,35,162,33,36,42,33,63,54,76,19
396,97906,690.5172043010751,73,552,2,19,3,9,7,7,10,3,10,3,38,167,37,31,40,29,59,58,71,22
397,994801,691.6430107526882,76,549,6,25,7,4,6,6,5,7,7,3,34,161,33,36,41,30,64,54,74,22
398,116748,690.2666666666667,70,555,6,24,6,5,6,5,6,5,4,3,34,162,34,35,41,31,63,56,77,22
